Repeticao,Largura,Altura,Tempo
1,4096,4096,0.145073
2,4096,4096,0.282080
3,4096,4096,0.186691
4,4096,4096,0.143243
5,4096,4096,0.141975
6,4096,4096,0.155986
7,4096,4096,0.150219
8,4096,4096,0.138680
9,4096,4096,0.127272
10,4096,4096,0.150540
