Repeticao,Largura,Altura,Tempo
1,1024,1024,0.038095
2,1024,1024,0.023455
3,1024,1024,0.024465
4,1024,1024,0.027993
5,1024,1024,0.020071
6,1024,1024,0.022892
7,1024,1024,0.015939
8,1024,1024,0.027882
9,1024,1024,0.025090
10,1024,1024,0.018842
