Resolucao,Repeticao,Tempo_s
4096x4096,1,3.803202
4096x4096,2,3.388246
4096x4096,3,3.523232
4096x4096,4,3.135616
4096x4096,5,3.184854
4096x4096,6,3.075103
4096x4096,7,3.128185
4096x4096,8,3.422428
4096x4096,9,3.072819
4096x4096,10,3.067642
