Resolucao,Repeticao,Tempo_s
1024x1024,1,0.522213
1024x1024,2,0.406625
1024x1024,3,0.437451
1024x1024,4,0.537744
1024x1024,5,0.534241
1024x1024,6,0.448303
1024x1024,7,0.351980
1024x1024,8,0.317840
1024x1024,9,0.323483
1024x1024,10,0.318675
